player_name,player_id_agg,min_tourn_date,max_tourn_date,total_matches,player_id,flag,Aggregate
Anne Sophie Courteau,215677,02/11/2015 00:00,08/08/2016 00:00,8,215677,FALSE,
Anne Sophie Forget,216422,14/11/2016 00:00,14/11/2016 00:00,1,216422,FALSE,
Anne Sophie Morandais,221198,16/07/2018 00:00,19/09/2022 00:00,59,221198,FALSE,
Anne Stewart,230863,25/10/1982 00:00,25/10/1982 00:00,1,230863,FALSE,
Anne Stueckle,204460,31/07/1995 00:00,01/11/1999 00:00,63,204460,FALSE,
Anne Tripp,224434,03/11/1975 00:00,01/06/1981 00:00,19,224434,FALSE,
Anne Valerie Evain,205889,25/04/2005 00:00,02/08/2010 00:00,125,205889,FALSE,
Anne White,200387,06/11/1978 00:00,12/02/1990 00:00,272,200387,FALSE,
Anne Williams,224082,04/06/1968 00:00,04/06/1968 00:00,1,224082,FALSE,
Anne Winston,231996,12/08/1985 00:00,12/08/1985 00:00,1,231996,FALSE,
Anne Yelsey,202550,06/03/2002 00:00,27/04/2009 00:00,67,202550,FALSE,
Anneli Bjork,213039,19/07/1982 00:00,08/02/1988 00:00,83,213039,FALSE,
Anneli Oehrnstett,232962,06/07/1987 00:00,06/07/1987 00:00,1,232962,FALSE,
Anneli Ornstedt,213177,08/02/1988 00:00,05/10/1992 00:00,71,213177,FALSE,
Annelie Bjork,202077,03/11/1986 00:00,06/07/1987 00:00,5,202077,FALSE,
Anneliese Rose,212165,06/05/1996 00:00,13/05/2019 00:00,45,212165,FALSE,
Anneliese Tepper,206094,18/05/2009 00:00,31/10/2011 00:00,47,206094,FALSE,
Annelin Bakker,223427,24/08/2020 00:00,29/08/2022 00:00,4,223427,FALSE,
Annelise Fernandez,208535,13/10/2003 00:00,13/10/2003 00:00,1,208535,FALSE,
Annelise Muller,223468,26/11/1979 00:00,25/11/1981 00:00,3,223468,FALSE,
Anneloes Schothorst,223521,26/07/1971 00:00,11/03/1974 00:00,20,223521,FALSE,
Anneloes Schothurst,200277,20/03/1972 00:00,09/10/1978 00:00,5,200277,FALSE,
Annelou Nab,216284,26/09/2016 00:00,26/08/2019 00:00,11,216284,FALSE,
Annely Pokras,213735,27/05/2013 00:00,24/08/2015 00:00,5,213735,FALSE,
Annemarie Lazar,241728,26/07/2021 00:00,21/11/2022 00:00,14,241728,FALSE,
Annemart Kleijn,222877,21/10/2019 00:00,21/10/2019 00:00,1,222877,FALSE,
Annemiek Blom,227609,16/03/1970 00:00,24/03/1970 00:00,4,227609,FALSE,
Annerly Poulos,221045,26/03/2018 00:00,04/07/2022 00:00,44,221045,FALSE,
Annette Aksdal,208978,10/04/2002 00:00,23/07/2007 00:00,8,208978,FALSE,
Annette Brouwer,224445,17/07/1978 00:00,17/07/1978 00:00,1,224445,FALSE,
Annette Coe,201146,08/11/1971 00:00,12/02/1980 00:00,167,201146,FALSE,
Annette Falkenberg,206997,21/04/1992 00:00,09/11/1998 00:00,29,206997,FALSE,
Annette Gerber,201902,14/10/1985 00:00,30/10/1989 00:00,82,201902,FALSE,
Annette Gulley,201710,17/12/1979 00:00,25/11/1985 00:00,113,201710,FALSE,
Annette Kolb,203155,15/09/1998 00:00,18/06/2007 00:00,148,203155,FALSE,
Annette Paluska,227999,27/01/1969 00:00,27/01/1969 00:00,1,227999,FALSE,
Annette Patchen,201763,20/10/1986 00:00,28/11/1988 00:00,9,201763,FALSE,
Annette Pohjalainen,209374,14/08/2006 00:00,14/08/2006 00:00,1,209374,FALSE,
Annette Smith,201761,07/03/1977 00:00,20/07/1987 00:00,31,201761,FALSE,
Annette Steenkamp,223657,28/12/1970 00:00,26/06/1972 00:00,10,223657,FALSE,
Annette Tector,229352,18/02/1980 00:00,18/02/1980 00:00,2,229352,FALSE,
Annette Van Zyl,200810,25/12/1967 00:00,12/12/1977 00:00,160,200810,FALSE,
Annette Zweck,206873,12/08/1996 00:00,30/10/2006 00:00,10,206873,FALSE,
Annica Cooper,203104,08/02/1993 00:00,10/06/2002 00:00,51,203104,FALSE,
Annica Lindstedt,204667,22/05/1995 00:00,28/10/1997 00:00,69,204667,FALSE,
Annick Claes,233024,10/08/1987 00:00,10/08/1987 00:00,3,233024,FALSE,
Annick Melgers,216395,07/11/2016 00:00,01/11/2021 00:00,68,216395,FALSE,
Annick Verhaar,216360,31/10/2016 00:00,29/08/2022 00:00,12,216360,FALSE,
Annie Donaldson,215188,18/05/2015 00:00,17/10/2016 00:00,14,215188,FALSE,
Annie Goransson,204256,09/05/2005 00:00,28/06/2010 00:00,14,204256,FALSE,
Annie Miller,234930,29/01/1990 00:00,09/10/1995 00:00,85,234930,FALSE,
Annie Mulholland,205891,27/07/2009 00:00,23/05/2011 00:00,7,205891,FALSE,
Annie Trepanier,212990,01/11/1993 00:00,02/06/2001 00:00,7,212990,FALSE,
Annika Barth,223422,24/08/2020 00:00,05/12/2022 00:00,20,223422,FALSE,
Annika Beck,202470,16/03/2009 00:00,23/10/2017 00:00,411,202470,FALSE,
Annika Bengtsson,204468,13/01/1998 00:00,26/06/2000 00:00,13,204468,FALSE,
Annika Chiara Rittberger,221948,01/04/2019 00:00,28/10/2019 00:00,12,221948,FALSE,
Annika Dulige,235021,30/07/1990 00:00,30/07/1990 00:00,2,235021,FALSE,
Annika Dunstroen,232966,06/07/1987 00:00,06/07/1987 00:00,1,232966,FALSE,
Annika Falkfors,233523,04/07/1988 00:00,04/07/1988 00:00,1,233523,FALSE,
Annika Hakovirta,241744,26/07/2021 00:00,26/07/2021 00:00,1,241744,FALSE,
Annika Holmblad,232900,19/01/1987 00:00,06/07/1987 00:00,3,232900,FALSE,
Annika Kannan,221089,07/05/2018 00:00,05/12/2022 00:00,56,221089,FALSE,
Annika Karlsson,203794,09/07/1984 00:00,06/07/1987 00:00,84,203794,FALSE,
Annika Lavoie,260857,17/10/2022 00:00,17/10/2022 00:00,1,260857,FALSE,
Annika Narbe,201800,06/07/1987 00:00,24/01/1994 00:00,146,201800,FALSE,
Annika Nydeus,224965,29/01/1968 00:00,08/07/1974 00:00,11,224965,FALSE,
Annika Planinsek,223443,31/08/2020 00:00,31/08/2020 00:00,1,223443,FALSE,
Annika Sillanpaa,206061,27/09/2010 00:00,25/07/2016 00:00,9,206061,FALSE,
Annina Von Planta,201787,14/06/1976 00:00,13/07/1981 00:00,21,201787,FALSE,
Annita Stylianidou,212577,28/03/2000 00:00,31/03/2000 00:00,4,212577,FALSE,
Annunciata De Souza,221452,19/11/2018 00:00,03/12/2018 00:00,2,221452,FALSE,
Anori Fukuda,202105,08/10/1990 00:00,15/10/1997 00:00,56,202105,FALSE,
Anouck Vrancken Peeters,259758,07/02/2022 00:00,05/12/2022 00:00,64,259758,FALSE,
Anouk Delefortrie,205856,07/08/2006 00:00,13/08/2012 00:00,86,205856,FALSE,
Anouk Koevermans,222017,29/04/2019 00:00,05/12/2022 00:00,90,222017,FALSE,
Anouk Richter,260308,27/06/2022 00:00,12/12/2022 00:00,3,260308,FALSE,
Anouk Sinnige,207313,30/10/2000 00:00,11/06/2001 00:00,6,207313,FALSE,
Anouk Sterk,204896,28/06/1999 00:00,26/08/2002 00:00,54,204896,FALSE,
Anouk Tigu,205412,21/08/2006 00:00,20/08/2012 00:00,40,205412,FALSE,
Anouk Van Riesen,260477,01/08/2022 00:00,28/11/2022 00:00,2,260477,FALSE,
Anouschka Popp,201833,13/07/1987 00:00,20/07/1992 00:00,138,201833,FALSE,
Anoushka Sharma,221791,28/01/2019 00:00,28/01/2019 00:00,1,221791,FALSE,
Anoushka Wooller,222150,20/05/2019 00:00,11/11/2019 00:00,17,222150,FALSE,
Anouska Van Exel,202283,12/06/2000 00:00,25/04/2005 00:00,171,202283,FALSE,
Anri Nagata,216315,10/10/2016 00:00,19/12/2022 00:00,61,216315,FALSE,
Anshu Okamura,222525,26/08/2019 00:00,26/08/2019 00:00,1,222525,FALSE,
Ansley Cargill,201207,12/10/1998 00:00,28/08/2006 00:00,313,201207,FALSE,
